2026-02-23 12:56:57 | INFO     | apscheduler.executors.default | Running job "Initial Model Training (trigger: date[2026-02-23 12:56:57 EAT], next run at: 2026-02-23 12:56:57 EAT)" (scheduled at 2026-02-23 12:56:57.514010+03:00)
2026-02-23 12:56:57 | INFO     | apscheduler.scheduler | Removed job initial_training
2026-02-23 12:56:57 | INFO     | scheduler | 📅 Anomaly training scheduled: Daily at 2:00 AM
2026-02-23 12:56:57 | INFO     | scheduler | 🚀 Running initial model training...
2026-02-23 12:56:57 | INFO     | scheduler | 📅 Forecast training scheduled: Daily at 3:00 AM
2026-02-23 12:56:57 | INFO     | scheduler | 🔄 Starting scheduled anomaly detection training...
2026-02-23 12:56:57 | INFO     | main | ✅ Scheduler started — initial training running in background
2026-02-23 12:56:57 | INFO     | models.anomaly_detector | 🔄 Starting anomaly detection training...
2026-02-23 12:56:59 | INFO     | models.anomaly_detector | 💾 Model and scaler saved to disk
2026-02-23 12:56:59 | INFO     | models.anomaly_detector | 📦 Stored 2 anomalies in memory
2026-02-23 12:56:59 | INFO     | models.anomaly_detector | ✅ Training complete — 2 anomalies detected
2026-02-23 12:56:59 | INFO     | models.anomaly_detector | 📊 Confidence: 0.805
2026-02-23 12:56:59 | INFO     | scheduler | ✅ Anomaly detection training completed
2026-02-23 12:56:59 | INFO     | scheduler | 🔄 Starting scheduled forecast training...
2026-02-23 12:56:59 | INFO     | models.forecast_model | 🔄 Starting forecast training...
2026-02-23 12:57:00 | INFO     | models.forecast_model | 📊 Forecasting for 23 terminals
2026-02-23 12:57:01 | ERROR    | prophet.plot | Importing plotly failed. Interactive plots will not work.
2026-02-23 12:57:01 | INFO     | prophet | n_changepoints greater than number of observations. Using 1.
2026-02-23 12:57:01 | INFO     | prophet | n_changepoints greater than number of observations. Using 2.
2026-02-23 12:57:03 | WARNING  | models.forecast_model | ⚠️ Skipping CDM22567 — insufficient data
2026-02-23 12:57:03 | INFO     | prophet | n_changepoints greater than number of observations. Using 1.
2026-02-23 12:57:03 | WARNING  | models.forecast_model | ⚠️ Skipping CDM592 — insufficient data
2026-02-23 12:57:03 | INFO     | prophet | n_changepoints greater than number of observations. Using 1.
2026-02-23 12:57:04 | INFO     | prophet | n_changepoints greater than number of observations. Using 4.
2026-02-23 12:57:09 | INFO     | prophet | n_changepoints greater than number of observations. Using 5.
2026-02-23 12:57:09 | INFO     | prophet | n_changepoints greater than number of observations. Using 3.
2026-02-23 12:57:10 | INFO     | prophet | n_changepoints greater than number of observations. Using 5.
2026-02-23 12:57:10 | INFO     | prophet | n_changepoints greater than number of observations. Using 6.
2026-02-23 12:57:10 | INFO     | prophet | n_changepoints greater than number of observations. Using 7.
2026-02-23 12:57:11 | INFO     | prophet | n_changepoints greater than number of observations. Using 6.
2026-02-23 12:57:11 | INFO     | prophet | n_changepoints greater than number of observations. Using 5.
2026-02-23 12:57:11 | INFO     | prophet | n_changepoints greater than number of observations. Using 6.
2026-02-23 12:57:12 | INFO     | prophet | n_changepoints greater than number of observations. Using 6.
2026-02-23 12:57:12 | INFO     | prophet | n_changepoints greater than number of observations. Using 7.
2026-02-23 12:57:13 | INFO     | prophet | n_changepoints greater than number of observations. Using 6.
2026-02-23 12:57:15 | INFO     | prophet | n_changepoints greater than number of observations. Using 3.
2026-02-23 12:57:17 | INFO     | prophet | n_changepoints greater than number of observations. Using 1.
2026-02-23 12:57:18 | INFO     | prophet | n_changepoints greater than number of observations. Using 7.
2026-02-23 12:57:18 | INFO     | prophet | n_changepoints greater than number of observations. Using 1.
2026-02-23 12:57:20 | INFO     | prophet | n_changepoints greater than number of observations. Using 7.
2026-02-23 12:57:20 | INFO     | models.forecast_model | 📦 Stored 357 forecast records in memory
2026-02-23 12:57:20 | INFO     | models.forecast_model | ✅ Forecast training complete using Prophet
2026-02-23 12:57:20 | INFO     | models.forecast_model | 📊 Generated 357 forecast records
2026-02-23 12:57:20 | INFO     | scheduler | ✅ Forecast training completed
2026-02-23 12:57:20 | INFO     | scheduler | ✅ Initial training complete
2026-02-23 12:57:20 | INFO     | apscheduler.executors.default | Job "Initial Model Training (trigger: date[2026-02-23 12:56:57 EAT], next run at: 2026-02-23 12:56:57 EAT)" executed successfully
2026-02-24 09:58:03 | INFO     | models.anomaly_detector | ✅ Loaded existing anomaly detection model from disk
2026-02-24 09:58:03 | INFO     | models.anomaly_detector | ✅ Loaded existing anomaly detection model from disk
2026-02-24 09:58:03 | INFO     | main | 🚀 Starting Transaction Monitoring API...
2026-02-24 09:58:03 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-02-24 09:58:03 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-02-24 09:58:03 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-02-24 09:58:03 | INFO     | apscheduler.scheduler | Added job "Daily Anomaly Detection Training" to job store "default"
2026-02-24 09:58:03 | INFO     | apscheduler.scheduler | Added job "Daily Forecast Training" to job store "default"
2026-02-24 09:58:03 | INFO     | apscheduler.scheduler | Added job "Initial Model Training" to job store "default"
2026-02-24 09:58:03 | INFO     | apscheduler.scheduler | Scheduler started
2026-02-24 09:58:03 | INFO     | scheduler | ✅ Scheduler started successfully
2026-02-24 09:58:03 | INFO     | scheduler | 📅 Anomaly training scheduled: Daily at 2:00 AM
2026-02-24 09:58:03 | INFO     | apscheduler.executors.default | Running job "Initial Model Training (trigger: date[2026-02-24 09:58:03 EAT], next run at: 2026-02-24 09:58:03 EAT)" (scheduled at 2026-02-24 09:58:03.890801+03:00)
2026-02-24 09:58:03 | INFO     | apscheduler.scheduler | Removed job initial_training
2026-02-24 09:58:03 | INFO     | scheduler | 📅 Forecast training scheduled: Daily at 3:00 AM
2026-02-24 09:58:03 | INFO     | main | ✅ Scheduler started — initial training running in background
2026-02-24 09:58:03 | INFO     | scheduler | 🚀 Running initial model training...
2026-02-24 09:58:03 | INFO     | scheduler | 🔄 Starting scheduled anomaly detection training...
2026-02-24 09:58:03 | INFO     | models.anomaly_detector | 🔄 Starting anomaly detection training...
2026-02-24 09:58:09 | INFO     | models.anomaly_detector | 💾 Model and scaler saved to disk
2026-02-24 09:58:09 | INFO     | models.anomaly_detector | 📦 Stored 2 anomalies in memory
2026-02-24 09:58:09 | INFO     | models.anomaly_detector | ✅ Training complete — 2 anomalies detected
2026-02-24 09:58:09 | INFO     | models.anomaly_detector | 📊 Confidence: 0.804
2026-02-24 09:58:09 | INFO     | scheduler | ✅ Anomaly detection training completed
2026-02-24 09:58:09 | INFO     | scheduler | 🔄 Starting scheduled forecast training...
2026-02-24 09:58:09 | INFO     | models.forecast_model | 🔄 Starting forecast training...
2026-02-24 09:58:09 | INFO     | models.forecast_model | 📊 Forecasting for 23 terminals
2026-02-24 09:58:12 | ERROR    | prophet.plot | Importing plotly failed. Interactive plots will not work.
2026-02-24 09:58:13 | INFO     | prophet | n_changepoints greater than number of observations. Using 1.
2026-02-24 09:58:14 | INFO     | prophet | n_changepoints greater than number of observations. Using 2.
2026-02-24 09:58:16 | WARNING  | models.forecast_model | ⚠️ Skipping CDM22567 — insufficient data
2026-02-24 09:58:16 | INFO     | prophet | n_changepoints greater than number of observations. Using 1.
2026-02-24 09:58:17 | WARNING  | models.forecast_model | ⚠️ Skipping CDM592 — insufficient data
2026-02-24 09:58:17 | INFO     | prophet | n_changepoints greater than number of observations. Using 1.
2026-02-24 09:58:18 | INFO     | prophet | n_changepoints greater than number of observations. Using 4.
2026-02-24 09:58:26 | INFO     | prophet | n_changepoints greater than number of observations. Using 5.
2026-02-24 09:58:26 | INFO     | prophet | n_changepoints greater than number of observations. Using 3.
2026-02-24 09:58:27 | INFO     | prophet | n_changepoints greater than number of observations. Using 5.
2026-02-24 09:58:27 | INFO     | prophet | n_changepoints greater than number of observations. Using 6.
2026-02-24 09:58:28 | INFO     | prophet | n_changepoints greater than number of observations. Using 7.
2026-02-24 09:58:28 | INFO     | prophet | n_changepoints greater than number of observations. Using 6.
2026-02-24 09:58:29 | INFO     | prophet | n_changepoints greater than number of observations. Using 5.
2026-02-24 09:58:30 | INFO     | prophet | n_changepoints greater than number of observations. Using 6.
2026-02-24 09:58:30 | INFO     | prophet | n_changepoints greater than number of observations. Using 6.
2026-02-24 09:58:31 | INFO     | prophet | n_changepoints greater than number of observations. Using 7.
2026-02-24 09:58:31 | INFO     | prophet | n_changepoints greater than number of observations. Using 6.
2026-02-24 09:58:33 | INFO     | prophet | n_changepoints greater than number of observations. Using 3.
2026-02-24 09:58:35 | INFO     | prophet | n_changepoints greater than number of observations. Using 1.
2026-02-24 09:58:36 | INFO     | prophet | n_changepoints greater than number of observations. Using 7.
2026-02-24 09:58:36 | INFO     | prophet | n_changepoints greater than number of observations. Using 1.
2026-02-24 09:58:38 | INFO     | prophet | n_changepoints greater than number of observations. Using 7.
2026-02-24 09:58:39 | INFO     | models.forecast_model | 📦 Stored 357 forecast records in memory
2026-02-24 09:58:39 | INFO     | models.forecast_model | ✅ Forecast training complete using Prophet
2026-02-24 09:58:39 | INFO     | models.forecast_model | 📊 Generated 357 forecast records
2026-02-24 09:58:39 | INFO     | scheduler | ✅ Forecast training completed
2026-02-24 09:58:39 | INFO     | scheduler | ✅ Initial training complete
2026-02-24 09:58:39 | INFO     | apscheduler.executors.default | Job "Initial Model Training (trigger: date[2026-02-24 09:58:03 EAT], next run at: 2026-02-24 09:58:03 EAT)" executed successfully
2026-02-24 10:42:14 | INFO     | models.anomaly_detector | ✅ Loaded existing anomaly detection model from disk
2026-02-24 10:42:14 | INFO     | main | 🚀 Starting Transaction Monitoring API...
2026-02-24 10:42:14 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-02-24 10:42:14 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-02-24 10:42:14 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-02-24 10:42:14 | INFO     | apscheduler.scheduler | Added job "Daily Anomaly Detection Training" to job store "default"
2026-02-24 10:42:14 | INFO     | apscheduler.scheduler | Added job "Daily Forecast Training" to job store "default"
2026-02-24 10:42:14 | INFO     | apscheduler.scheduler | Added job "Initial Model Training" to job store "default"
2026-02-24 10:42:14 | INFO     | apscheduler.scheduler | Scheduler started
2026-02-24 10:42:14 | INFO     | scheduler | ✅ Scheduler started successfully
2026-02-24 10:42:14 | INFO     | apscheduler.executors.default | Running job "Initial Model Training (trigger: date[2026-02-24 10:42:14 EAT], next run at: 2026-02-24 10:42:14 EAT)" (scheduled at 2026-02-24 10:42:14.079588+03:00)
2026-02-24 10:42:14 | INFO     | apscheduler.scheduler | Removed job initial_training
2026-02-24 10:42:14 | INFO     | scheduler | 📅 Anomaly training scheduled: Daily at 2:00 AM
2026-02-24 10:42:14 | INFO     | scheduler | 🚀 Running initial model training...
2026-02-24 10:42:14 | INFO     | scheduler | 📅 Forecast training scheduled: Daily at 3:00 AM
2026-02-24 10:42:14 | INFO     | scheduler | 🔄 Starting scheduled anomaly detection training...
2026-02-24 10:42:14 | INFO     | main | ✅ Scheduler started — initial training running in background
2026-02-24 10:42:14 | INFO     | models.anomaly_detector | 🔄 Starting anomaly detection training...
2026-02-24 10:42:14 | INFO     | models.anomaly_detector | 🔄 Starting anomaly detection training...
2026-02-24 10:42:14 | INFO     | models.forecast_model | 🔄 Starting forecast training...
2026-02-24 10:42:14 | INFO     | models.forecast_model | 📊 Forecasting for 23 terminals
2026-02-24 10:42:18 | ERROR    | prophet.plot | Importing plotly failed. Interactive plots will not work.
2026-02-24 10:42:19 | INFO     | models.anomaly_detector | 💾 Model and scaler saved to disk
2026-02-24 10:42:19 | INFO     | models.anomaly_detector | 💾 Model and scaler saved to disk
2026-02-24 10:42:19 | INFO     | models.anomaly_detector | 📦 Stored 2 anomalies in memory
2026-02-24 10:42:19 | INFO     | models.anomaly_detector | ✅ Training complete — 2 anomalies detected
2026-02-24 10:42:19 | INFO     | models.anomaly_detector | 📊 Confidence: 0.806
2026-02-24 10:42:19 | INFO     | models.anomaly_detector | 📦 Stored 2 anomalies in memory
2026-02-24 10:42:19 | INFO     | models.anomaly_detector | ✅ Training complete — 2 anomalies detected
2026-02-24 10:42:19 | INFO     | models.anomaly_detector | 📊 Confidence: 0.806
2026-02-24 10:42:19 | INFO     | scheduler | ✅ Anomaly detection training completed
2026-02-24 10:42:19 | INFO     | scheduler | 🔄 Starting scheduled forecast training...
2026-02-24 10:42:19 | INFO     | models.forecast_model | 🔄 Starting forecast training...
2026-02-24 10:42:19 | INFO     | models.forecast_model | 📊 Forecasting for 23 terminals
2026-02-24 10:42:20 | INFO     | prophet | n_changepoints greater than number of observations. Using 1.
2026-02-24 10:42:20 | INFO     | prophet | n_changepoints greater than number of observations. Using 1.
2026-02-24 10:42:21 | INFO     | prophet | n_changepoints greater than number of observations. Using 2.
2026-02-24 10:42:21 | INFO     | prophet | n_changepoints greater than number of observations. Using 2.
2026-02-24 10:42:23 | WARNING  | models.forecast_model | ⚠️ Skipping CDM22567 — insufficient data
2026-02-24 10:42:23 | WARNING  | models.forecast_model | ⚠️ Skipping CDM22567 — insufficient data
2026-02-24 10:42:23 | INFO     | prophet | n_changepoints greater than number of observations. Using 1.
2026-02-24 10:42:23 | INFO     | prophet | n_changepoints greater than number of observations. Using 1.
2026-02-24 10:42:23 | WARNING  | models.forecast_model | ⚠️ Skipping CDM592 — insufficient data
2026-02-24 10:42:23 | WARNING  | models.forecast_model | ⚠️ Skipping CDM592 — insufficient data
2026-02-24 10:42:23 | INFO     | prophet | n_changepoints greater than number of observations. Using 1.
